Name;Guest OS;IP Address
Win-Srv;Microsoft Windows Server 2019 (64-bit);10.201.132.3
ICT-DXCLUSTER-1;Microsoft Windows Server 2019 (64-bit);10.201.136.3
ICT-DXCLUSTER-2;Microsoft Windows Server 2019 (64-bit);10.201.136.4
PROD-NHAPTHUOC-CLUSTER-DB-1;Microsoft Windows Server 2019 (64-bit);10.201.144.250
PROD-NHAPTHUOC-CLUSTER-DB-2;Microsoft Windows Server 2019 (64-bit);10.201.144.251
PROD-SHIPMENT-CLUSTER-DB-1;Microsoft Windows Server 2019 (64-bit);10.201.148.26
PROD-SHIPMENT-CLUSTER-DB-2;Microsoft Windows Server 2019 (64-bit);10.201.148.27
Jump;Microsoft Windows Server 2019 (64-bit);10.201.152.210
FRT-POS-FLC-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.100
FRT-MPOS-APP-01;Microsoft Windows Server 2019 (64-bit);10.96.100.112
FRT-MPOS-APP-02;Microsoft Windows Server 2019 (64-bit);10.96.100.113
FRT-mPOSAPI-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.114
FRT-POS-ICT-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.120
FLC-PROD-BRAVO-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.135
FRT-DATA-GW-BI;Microsoft Windows Server 2019 (64-bit);10.96.100.151
AUTO-UPDATE-TOOLS;Microsoft Windows Server 2019 (64-bit);10.96.100.153
ICT-PROD-BRAVO-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.154
FRT-HDDT-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.183
FRT-Web-BI-ICT;Microsoft Windows Server 2019 (64-bit);10.96.100.199
FRT-Web-TuyenDung;Microsoft Windows Server 2019 (64-bit);10.96.100.2
FRT-FLC-BI-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.221
DQH-Bravo-App;Microsoft Windows Server 2022 (64-bit);10.96.100.226
FRT-Fcare-Bravo-App;Microsoft Windows Server 2019 (64-bit);10.96.100.251
FRT-API-TuyenDung;Microsoft Windows Server 2016 (64-bit);10.96.100.3
HDDT-LC-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.30
CL-PHAR-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.31
HDDT-FBEATY-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.33
FRT-File-TuyenDung;Microsoft Windows Server 2019 (64-bit);10.96.100.4
FRT-OB-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.42
CALLLOG-ICT-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.43
CL-OUTSIDE-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.44
MCL-PHAR-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.45
FRT-OUTSIDE-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.50
FRT-INSIDE-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.53
FRT-INSIDE-API;Microsoft Windows Server 2019 (64-bit);10.96.100.54
FRT-IS-PHARMA-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.55
FRT-InsideNew-Web;Microsoft Windows Server 2019 (64-bit);10.96.100.56
FRT-WARRANTY-APP;Microsoft Windows Server 2019 (64-bit);10.96.100.60
FBT-BI-WEB;Microsoft Windows Server 2019 (64-bit);10.96.100.61
FRT-POS-FLC-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.100
Core-Cus-LC-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.11
FRT-DB-PBX;Microsoft Windows Server 2019 (64-bit);10.96.101.110
DB-Order-Promising;Microsoft Windows Server 2019 (64-bit);10.96.101.111
FRT-mPOS-DB-PRI;Microsoft Windows Server 2019 (64-bit);10.96.101.112
FRT-POS-ICT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.120
FRT-RSA-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.122
FRT-PRINT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.124
FRT-SHIPMENT-INT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.125
ICT-DELIVERY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.126
FLC-PROD-BRAVO-DB;Microsoft Windows Server 2012 (64-bit);10.96.101.127
FRT-FRIENDSELL-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.128
FIS-TVAN-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.129
FRT-TVAN-INT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.130
FRT-ManageShop-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.131
DX-SQL-CLUSTER-1;Microsoft Windows Server 2019 (64-bit);10.96.101.132
DX-SQL-CLUSTER-2;Microsoft Windows Server 2019 (64-bit);10.96.101.133
DX-SQL-CLUSTER-3;Microsoft Windows Server 2019 (64-bit);10.96.101.134
ICT-PROD-BRAVO-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.154
FRT-POS-ICT-LSGD-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.156
DQH-Bravo-DB;Microsoft Windows Server 2022 (64-bit);10.96.101.157
FRT-REPLICATE-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.169
ICT-DISTRIBUTOR;Microsoft Windows Server 2019 (64-bit);10.96.101.170
Pharma-Repl-Report;Microsoft Windows Server 2019 (64-bit);10.96.101.171
FRT-OMS-CAP-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.172
FIS-TVAN-DB-HDDT;Microsoft Windows Server 2019 (64-bit);10.96.101.173
FRT-Identity-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.179
FRT-DB-Pri;Microsoft Windows Server 2019 (64-bit);10.96.101.180
FLC-MYSELF-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.182
FLC-ORDERRULE-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.183
FLC-Voucher-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.185
FLC-3RD-INT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.186
FRT-EINVOICE;Microsoft Windows Server 2019 (64-bit);10.96.101.192
FLC-OPS-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.196
CFS-REPLICATE-DATA;Microsoft Windows Server 2019 (64-bit);10.96.101.197
FRT-LOYALTY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.198
FRT-DB-BI-ICT;Microsoft Windows Server 2019 (64-bit);10.96.101.199
FRT-DB-TuyenDung;Microsoft Windows Server 2016 (64-bit);10.96.101.2
FLC-RETURNHOME-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.200
FLC-CONTRACT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.201
FLC-SERVICEORDER-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.202
FLC-LOYALTY-INTEGRATION-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.205
FLC-Promotion-DB-2;Microsoft Windows Server 2019 (64-bit);10.96.101.207
FLC-CustomerEvents-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.208
FRT-Fcare-Bravo-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.209
LC-PIM-SQL;Microsoft Windows Server 2019 (64-bit);10.96.101.210
FLC-BRAVO-SQL-1;Microsoft Windows Server 2019 (64-bit);10.96.101.215
FLC-BRAVO-SQL-2;Microsoft Windows Server 2019 (64-bit);10.96.101.218
LC-BI-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.221
FLC-IMS-CLUSTER-1;Microsoft Windows Server 2019 (64-bit);10.96.101.224
FLC-IMS-CLUSTER-2;Microsoft Windows Server 2019 (64-bit);10.96.101.225
FLC-IMS-CLUSTER-3;Microsoft Windows Server 2019 (64-bit);10.96.101.226
FLC-FZCS-DB-1;Microsoft Windows Server 2019 (64-bit);10.96.101.229
FLC-ESM-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.230
FLC-VEEAM-SERVER;Microsoft Windows Server 2019 (64-bit);10.96.101.250
IT-TEST-UUID-2;Microsoft Windows Server 2019 (64-bit);10.96.101.252
CL-Phar-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.29
lc-identity-db;Microsoft Windows Server 2016 (64-bit);10.96.101.3
HDDT-LC-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.30
FRT-ECOM-TG-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.31
FRT-Customer-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.32
HDDT-FBEATY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.33
FRT-ChotQuy-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.34
FRT-SIM-TG-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.35
FRT-BOT-AI;Microsoft Windows Server 2019 (64-bit);10.96.101.36
LC-CONSOLID-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.4
FRT-OUTBOUND-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.42
CALLLOG-ICT-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.43
CL-OUTSIDE-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.44
MCL-PHAR-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.45
POS-FBEAUTY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.46
FRT-INSIDE-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.47
FRT-IS-PHARMA-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.48
FRT-ISNew-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.49
FRT-OUTSIDE-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.50
FRT-WARRANTY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.60
FBT-BI-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.61
FRT-ADS-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.65
DB-ECOM-PROM-LC;Microsoft Windows Server 2019 (64-bit);10.96.101.7
FRT-Shipment-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.71
FRT-SOM-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.72
FRT-CAP-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.73
FRT-Report-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.76
FRT-DQG-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.77
DB-NOTI-PROD;Microsoft Windows Server 2019 (64-bit);10.96.101.8
FRT-Report-DB-HA-1;Microsoft Windows Server 2019 (64-bit);10.96.101.85
FRT-Report-DB-HA-2;Microsoft Windows Server 2019 (64-bit);10.96.101.86
ICT-DB-PAYMENTGW-SOM;Microsoft Windows Server 2019 (64-bit);10.96.101.89
DB-POSWRAPPER-PROD;Microsoft Windows Server 2019 (64-bit);10.96.101.9
FRT-LC-DELIVERY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.95
FRT-Debit-DB-Prod;Microsoft Windows Server 2019 (64-bit);10.96.101.98
FRTDC06;Microsoft Windows Server 2016 (64-bit);10.96.102.1
PAM-JUMP;Microsoft Windows Server 2019 (64-bit);10.96.102.106
PAM-JUMP-2;Microsoft Windows Server 2019 (64-bit);10.96.102.107
Scanner-02;Microsoft Windows Server 2019 (64-bit);10.96.102.108
FRT-ATA;Microsoft Windows Server 2019 (64-bit);10.96.102.113
FIM-RODC;Microsoft Windows Server 2016 (64-bit);10.96.102.5
FRTDC07;Microsoft Windows Server 2016 (64-bit);10.96.102.7
FRTDC08;Microsoft Windows Server 2016 (64-bit);10.96.102.8
RODC-FPT.COM;Microsoft Windows Server 2022 (64-bit);10.96.102.9
ICTWEBSERVICES;Microsoft Windows Server 2019 (64-bit);10.96.120.1
ICTSERVICES;Microsoft Windows Server 2019 (64-bit);10.96.120.129
ICTFEWEBSV-NEW;Microsoft Windows Server 2019 (64-bit);10.96.120.2
ICTBEWEBSV;Microsoft Windows Server 2019 (64-bit);10.96.120.3
ICTWebLanding;Microsoft Windows Server 2019 (64-bit);10.96.120.7
ICTDBSERVICES;Microsoft Windows Server 2016 (64-bit);10.96.121.1
ICTDBSERVICES2;Microsoft Windows Server 2019 (64-bit);10.96.121.2
ICTDBWEBSV2;Microsoft Windows Server 2019 (64-bit);10.96.121.3
ICTDBLOG;Microsoft Windows Server 2019 (64-bit);10.96.121.4
ICTDBWEBSV;Microsoft Windows Server 2019 (64-bit);10.96.121.5
ECOM-DB-PRODUCT;Microsoft Windows Server 2019 (64-bit);10.96.121.7
ECOM-RSA-DB;Microsoft Windows Server 2019 (64-bit);10.96.121.9
ECOM-LC-CMS-PostgreSQL;Ubuntu Linux (64-bit);10.96.121.13
WEB-ECOM-DB;Ubuntu Linux (64-bit);10.96.121.8
Proxy-payment-webhook;Ubuntu Linux (64-bit);10.96.121.228
DMZ-IMAGES;Ubuntu Linux (64-bit);10.96.121.229
flc-preprod-thumbor;Ubuntu Linux (64-bit);10.96.121.230
BAPP;Ubuntu Linux (64-bit);10.96.121.234
ECOM-NGINX-DEV;Ubuntu Linux (64-bit);10.96.121.236
ECOM-FRT-UNIT;Ubuntu Linux (64-bit);10.96.121.239
ECOM-FRONTEND-REACT;Ubuntu Linux (64-bit);10.96.120.10
ecom-ict-redis;Ubuntu Linux (64-bit);10.96.120.12
ECOM-RSA-WEB-1;Ubuntu Linux (64-bit);10.96.120.13
ECOM-RSA-WEB-2;Ubuntu Linux (64-bit);10.96.120.14
ECOM-RSA-JOB;Ubuntu Linux (64-bit);10.96.120.17
ECOM-PAYMENT-PORTAL;Ubuntu Linux (64-bit);10.96.120.18
FRTES;Ubuntu Linux (64-bit);10.96.120.19
FRTLCES;Ubuntu Linux (64-bit);10.96.120.20
FRTLCES2;Ubuntu Linux (64-bit);10.96.120.21
ECOM-STOREFRONT-REDIS;Ubuntu Linux (64-bit);10.96.120.28
ECOM-CUSTOMER-REDIS;Ubuntu Linux (64-bit);10.96.120.29
ECOM-CMS-Redis;Ubuntu Linux (64-bit);10.96.120.33
WEB-NHATHUOC-BE-FE-2;Ubuntu Linux (64-bit);10.96.120.36
FLC-PREPRO-CMS-CORE-1;Ubuntu Linux (64-bit);10.96.120.40
frtnhathuoc-3;Ubuntu Linux (64-bit);10.96.120.43
CF-Tunnel;Ubuntu Linux (64-bit);10.96.120.47
core-product-api;Ubuntu Linux (64-bit);10.96.120.8
front-door-api;Ubuntu Linux (64-bit);10.96.120.9
PROXY-LC-OFFLINE;Ubuntu Linux (64-bit);10.201.152.65
PROXY-PRINT-CENTER;Ubuntu Linux (64-bit);10.201.152.66
PROXY-ICT-OFFLINE;Ubuntu Linux (64-bit);10.201.152.67
PROXY-WEB-LC;Ubuntu Linux (64-bit);10.201.152.2
PROXY-PAYMENT;Ubuntu Linux (64-bit);10.201.152.4
PROXY-PUBLIC-01;Ubuntu Linux (64-bit);10.201.152.5
PROXY-NHAPTHUOC;Ubuntu Linux (64-bit);10.201.152.6
ubuntu;Ubuntu Linux (64-bit);10.201.136.100
ICT-POSTGRESQL-1-y37kum4f-master1;Ubuntu Linux (64-bit);10.201.136.101
ICT-POSTGRESQL-1-y37kum4f-slave1;Ubuntu Linux (64-bit);10.201.136.102
ICT-POSTGRESQL-1-y37kum4f-slave2;Ubuntu Linux (64-bit);10.201.136.103
ICT-MONGODB-1-8mep8c11-master1;Ubuntu Linux (64-bit);10.201.136.105
ICT-MONGODB-1-8mep8c11-slave1;Ubuntu Linux (64-bit);10.201.136.106
ICT-MONGODB-1-8mep8c11-slave2;Ubuntu Linux (64-bit);10.201.136.107
ICT-MONGODB-OMS-s099stc0-master1;Ubuntu Linux (64-bit);10.201.136.108
ICT-MONGODB-CONTRACT-xozxowyb-master1;Ubuntu Linux (64-bit);10.201.136.109
ICT-KONG-DB-nuigzy9b-master1;Ubuntu Linux (64-bit);10.201.136.110
ICT-KONG-DB-nuigzy9b-slave1;Ubuntu Linux (64-bit);10.201.136.111
ICT-KONG-DB-nuigzy9b-slave2;Ubuntu Linux (64-bit);10.201.136.112
ICT-MONGODB-INVENTORY-u674kj3q-master1;Ubuntu Linux (64-bit);10.201.136.114
ICT-MONGODB-DEBIT-j4aisoy9-master1;Ubuntu Linux (64-bit);10.201.136.115
ICT-PIM-Mongodb;Ubuntu Linux (64-bit);10.201.136.12
PROD-ICT-ES-01;Ubuntu Linux (64-bit);10.201.136.13
PROD-ICT-ES-02;Ubuntu Linux (64-bit);10.201.136.14
PROD-ICT-ES-03;Ubuntu Linux (64-bit);10.201.136.15
PROD-ICT-ES-KIBANA;Ubuntu Linux (64-bit);10.201.136.16
PROD-ICT-ES-MONITOR;Ubuntu Linux (64-bit);10.201.136.17
ICT-KONG-DB;Ubuntu Linux (64-bit);10.201.136.2
ict-nginx-1;Ubuntu Linux (64-bit);10.201.139.128
ict-nginx-2;Ubuntu Linux (64-bit);10.201.139.129
ICT-ZOOKEEPER-1;Ubuntu Linux (64-bit);10.201.137.1
ict-redis-1;Ubuntu Linux (64-bit);10.201.137.10
ICT-INVENTORY-REDIS;Ubuntu Linux (64-bit);10.201.137.11
ICT-PIM-REDIS;Ubuntu Linux (64-bit);10.201.137.12
ICT-ZUUL-Redis;Ubuntu Linux (64-bit);10.201.137.13
ict-inventory-redis;Ubuntu Linux (64-bit);10.201.137.14
DEV-ICT-REDIS-1;Ubuntu Linux (64-bit);10.201.137.15
ICT-REDIS-RSA;Ubuntu Linux (64-bit);10.201.137.16
ICT-REDISPRINTSOCKET;Ubuntu Linux (64-bit);10.201.137.17
ICT-Payment-Core-Redis;Ubuntu Linux (64-bit);10.201.137.18
ICT-REDIS-PRINTCENTER;Ubuntu Linux (64-bit);10.201.137.19
ICT-ZOOKEEPER-2;Ubuntu Linux (64-bit);10.201.137.2
